THE SEED IS: 7

OVERALL JOB STATS -
JobId=0 ArrivalTime=54.72228669512229 StartTime=54.72228669512229 EndTime=54.84728669512232 NumIters=10
IterStartTime=54.72228669512229 IterEndTime=54.734786695122295 LossValue=0.392837895627038
IterStartTime=32.75996024791765 IterEndTime=32.77246024791765 LossValue=0.015308652651222427
IterStartTime=32.77246024791765 IterEndTime=32.78496024791765 LossValue=0.00536846031900379
IterStartTime=32.78496024791765 IterEndTime=32.797460247917655 LossValue=0.0018703597446495448
IterStartTime=32.797460247917655 IterEndTime=32.80996024791766 LossValue=6.393264588412525E-4
IterStartTime=32.80996024791766 IterEndTime=32.82246024791766 LossValue=2.0610765379082491E-4
IterStartTime=32.82246024791766 IterEndTime=32.834960247917664 LossValue=5.365155433930498E-5
JobId=4 ArrivalTime=41.78141878470583 StartTime=41.78141878470583 EndTime=41.84391878470584 NumIters=5
IterStartTime=41.78141878470583 IterEndTime=41.79391878470583 LossValue=0.12073605081176121
IterStartTime=41.79391878470583 IterEndTime=41.80641878470583 LossValue=0.014577193456748577
IterStartTime=41.80641878470583 IterEndTime=41.818918784705836 LossValue=0.0017599921995761162
IterStartTime=41.818918784705836 IterEndTime=41.83141878470584 LossValue=2.1249392990765228E-4
IterStartTime=41.83141878470584 IterEndTime=41.84391878470584 LossValue=2.5655099294237692E-5
JobId=5 ArrivalTime=8.133873060755226 StartTime=8.133873060755226 EndTime=8.258873060755219 NumIters=10
IterStartTime=8.133873060755226 IterEndTime=8.146373060755225 LossValue=0.5087437312623323
IterStartTime=8.146373060755225 IterEndTime=8.158873060755225 LossValue=0.20790767224765538
IterStartTime=8.158873060755225 IterEndTime=8.171373060755224 LossValue=0.10086754108260115
IterStartTime=8.171373060755224 IterEndTime=8.183873060755223 LossValue=0.05537244025006396
IterStartTime=8.183873060755223 IterEndTime=8.196373060755223 LossValue=0.03249359684908859
IterStartTime=8.196373060755223 IterEndTime=8.208873060755222 LossValue=0.01951571108654794
IterStartTime=8.208873060755222 IterEndTime=8.221373060755221 LossValue=0.011487350431357917
IterStartTime=8.221373060755221 IterEndTime=8.23387306075522 LossValue=0.0061898145136766395
IterStartTime=8.23387306075522 IterEndTime=8.24637306075522 LossValue=0.002516415804210548
IterStartTime=8.24637306075522 IterEndTime=8.258873060755219 LossValue=-1.3267312686838714E-4
JobId=6 ArrivalTime=16.88825686173161 StartTime=16.88825686173161 EndTime=17.013256861731602 NumIters=10
IterStartTime=16.88825686173161 IterEndTime=16.900756861731608 LossValue=0.8636309879198435
IterStartTime=16.900756861731608 IterEndTime=16.913256861731607 LossValue=0.7369785307576874
IterStartTime=16.913256861731607 IterEndTime=16.925756861731607 LossValue=0.6193503052500983
IterStartTime=16.925756861731607 IterEndTime=16.938256861731606 LossValue=0.5101033175003921
IterStartTime=16.938256861731606 IterEndTime=16.950756861731605 LossValue=0.4086403881661872
IterStartTime=16.950756861731605 IterEndTime=16.963256861731605 LossValue=0.314406888084117
IterStartTime=16.963256861731605 IterEndTime=16.975756861731604 LossValue=0.2268877064875735
IterStartTime=16.975756861731604 IterEndTime=16.988256861731603 LossValue=0.14560443524477973
IterStartTime=16.988256861731603 IterEndTime=17.000756861731602 LossValue=0.070112753725325
IterStartTime=17.000756861731602 IterEndTime=17.013256861731602 LossValue=0.0
JobId=7 ArrivalTime=36.912889739307644 StartTime=36.912889739307644 EndTime=37.03788973930767 NumIters=10
IterStartTime=36.912889739307644 IterEndTime=36.92538973930765 LossValue=0.6373269917187301
IterStartTime=36.92538973930765 IterEndTime=36.93788973930765 LossValue=0.4046305314566027
IterStartTime=36.93788973930765 IterEndTime=36.95038973930765 LossValue=0.25532898052196634
IterStartTime=36.95038973930765 IterEndTime=36.962889739307656 LossValue=0.1595348584868586
IterStartTime=36.962889739307656 IterEndTime=36.97538973930766 LossValue=0.09807190810870378
IterStartTime=36.97538973930766 IterEndTime=36.98788973930766 LossValue=0.058636354142218995
IterStartTime=36.98788973930766 IterEndTime=37.000389739307664 LossValue=0.03333390922092423
IterStartTime=37.000389739307664 IterEndTime=37.01288973930767 LossValue=0.0170994797632005
IterStartTime=37.01288973930767 IterEndTime=37.02538973930767 LossValue=0.006683225498538649
IterStartTime=37.02538973930767 IterEndTime=37.03788973930767 LossValue=0.0
JobId=8 ArrivalTime=33.174093660650996 StartTime=33.174093660650996 EndTime=33.299093660651025 NumIters=10
IterStartTime=33.174093660650996 IterEndTime=33.186593660651 LossValue=0.41151447516802464
IterStartTime=33.186593660651 IterEndTime=33.199093660651 LossValue=0.1766389905132784
IterStartTime=33.199093660651 IterEndTime=33.211593660651005 LossValue=0.09000028841540059
IterStartTime=33.211593660651005 IterEndTime=33.22409366065101 LossValue=0.05103867530475337
IterStartTime=33.22409366065101 IterEndTime=33.23659366065101 LossValue=0.03060585821084401
IterStartTime=33.23659366065101 IterEndTime=33.24909366065101 LossValue=0.018659342837207674
IterStartTime=33.24909366065101 IterEndTime=33.261593660651016 LossValue=0.011101415619309494
IterStartTime=33.261593660651016 IterEndTime=33.27409366065102 LossValue=0.006028036538030036
IterStartTime=33.27409366065102 IterEndTime=33.28659366065102 LossValue=0.002462297569130344
IterStartTime=33.28659366065102 IterEndTime=33.299093660651025 LossValue=-1.372439424642182E-4
JobId=9 ArrivalTime=97.51227433838558 StartTime=97.51227433838558 EndTime=97.63727433838561 NumIters=10
IterStartTime=97.51227433838558 IterEndTime=97.52477433838558 LossValue=0.5655099986309255
IterStartTime=97.52477433838558 IterEndTime=97.53727433838559 LossValue=0.27570056149094563
IterStartTime=97.53727433838559 IterEndTime=97.54977433838559 LossValue=0.14659291924158546
IterStartTime=97.54977433838559 IterEndTime=97.56227433838559 LossValue=0.08447761333599926
IterStartTime=97.56227433838559 IterEndTime=97.5747743383856 LossValue=0.05097531691250754
IterStartTime=97.5747743383856 IterEndTime=97.5872743383856 LossValue=0.031129399708265795
IterStartTime=97.5872743383856 IterEndTime=97.5997743383856 LossValue=0.01849137200456593
IterStartTime=97.5997743383856 IterEndTime=97.6122743383856 LossValue=0.009979058488589578
IterStartTime=97.6122743383856 IterEndTime=97.6247743383856 LossValue=0.0039858752635686875
IterStartTime=97.6247743383856 IterEndTime=97.63727433838561 LossValue=-3.870154371573911E-4
JobId=10 ArrivalTime=76.0052118285621 StartTime=76.0052118285621 EndTime=76.13021182856212 NumIters=10
IterStartTime=76.0052118285621 IterEndTime=76.0177118285621 LossValue=0.44728105902480986
IterStartTime=76.0177118285621 IterEndTime=76.0302118285621 LossValue=0.22512146887266093
IterStartTime=76.0302118285621 IterEndTime=76.0427118285621 LossValue=0.12673585215040306
IterStartTime=76.0427118285621 IterEndTime=76.05521182856211 LossValue=0.07644356956486
IterStartTime=76.05521182856211 IterEndTime=76.06771182856211 LossValue=0.0477007412104236
IterStartTime=76.06771182856211 IterEndTime=76.08021182856211 LossValue=0.029852532858075615
IterStartTime=76.08021182856211 IterEndTime=76.09271182856212 LossValue=0.018051571444019653
IterStartTime=76.09271182856212 IterEndTime=76.10521182856212 LossValue=0.009859554050514623
IterStartTime=76.10521182856212 IterEndTime=76.11771182856212 LossValue=0.003948291001741249
IterStartTime=76.11771182856212 IterEndTime=76.13021182856212 LossValue=-4.5347056350092743E-4
JobId=11 ArrivalTime=13.926455291496886 StartTime=13.926455291496886 EndTime=14.051455291496879 NumIters=10
IterStartTime=13.926455291496886 IterEndTime=13.938955291496885 LossValue=0.6292366222405478
IterStartTime=13.938955291496885 IterEndTime=13.951455291496885 LossValue=0.3654605706803653
IterStartTime=13.951455291496885 IterEndTime=13.963955291496884 LossValue=0.21791127228578777
IterStartTime=13.963955291496884 IterEndTime=13.976455291496883 LossValue=0.13462934517718847
IterStartTime=13.976455291496883 IterEndTime=13.988955291496882 LossValue=0.0848018937964051
IterStartTime=13.988955291496882 IterEndTime=14.001455291496882 LossValue=0.053153580805072605
IterStartTime=14.001455291496882 IterEndTime=14.013955291496881 LossValue=0.03198502897765398
IterStartTime=14.013955291496881 IterEndTime=14.02645529149688 LossValue=0.017203314132621036
IterStartTime=14.02645529149688 IterEndTime=14.03895529149688 LossValue=0.0065067074556229496
IterStartTime=14.03895529149688 IterEndTime=14.051455291496879 LossValue=-0.0014673258155811567
JobId=12 ArrivalTime=51.131842353227064 StartTime=51.131842353227064 EndTime=51.25684235322709 NumIters=10
IterStartTime=51.131842353227064 IterEndTime=51.14434235322707 LossValue=0.8247741855668523
IterStartTime=51.14434235322707 IterEndTime=51.15684235322707 LossValue=0.6729123712582004
IterStartTime=51.15684235322707 IterEndTime=51.16934235322707 LossValue=0.5412992826289895
IterStartTime=51.16934235322707 IterEndTime=51.181842353227076 LossValue=0.42723502508420375
IterStartTime=51.181842353227076 IterEndTime=51.19434235322708 LossValue=0.32837969857562466
IterStartTime=51.19434235322708 IterEndTime=51.20684235322708 LossValue=0.24270539718212447
IterStartTime=51.20684235322708 IterEndTime=51.219342353227084 LossValue=0.16845460889883163
IterStartTime=51.219342353227084 IterEndTime=51.23184235322709 LossValue=0.10410416225359465
IterStartTime=51.23184235322709 IterEndTime=51.24434235322709 LossValue=0.048333980156103684
IterStartTime=51.24434235322709 IterEndTime=51.25684235322709 LossValue=0.0
JobId=13 ArrivalTime=60.92143012369392 StartTime=60.92143012369392 EndTime=61.04643012369395 NumIters=10
IterStartTime=60.92143012369392 IterEndTime=60.933930123693926 LossValue=0.6073718845598581
IterStartTime=60.933930123693926 IterEndTime=60.94643012369393 LossValue=0.3801319800191469
IterStartTime=60.94643012369393 IterEndTime=60.95893012369393 LossValue=0.2456181549075085
IterStartTime=60.95893012369393 IterEndTime=60.971430123693935 LossValue=0.1617936711791464
IterStartTime=60.971430123693935 IterEndTime=60.98393012369394 LossValue=0.10680694998139038
IterStartTime=60.98393012369394 IterEndTime=60.99643012369394 LossValue=0.06908338524459391
IterStartTime=60.99643012369394 IterEndTime=61.00893012369394 LossValue=0.04220477006220236
IterStartTime=61.00893012369394 IterEndTime=61.021430123693946 LossValue=0.02243479110081298
IterStartTime=61.021430123693946 IterEndTime=61.03393012369395 LossValue=0.007498298634088102
IterStartTime=61.03393012369395 IterEndTime=61.04643012369395 LossValue=-0.004046519380091887
JobId=14 ArrivalTime=2.562886453521651 StartTime=2.562886453521651 EndTime=2.687886453521653 NumIters=10
IterStartTime=2.562886453521651 IterEndTime=2.5753864535216513 LossValue=0.6034060682272965
IterStartTime=2.5753864535216513 IterEndTime=2.5878864535216515 LossValue=0.28628456787995116
IterStartTime=2.5878864535216515 IterEndTime=2.6003864535216517 LossValue=0.1480622522774276
IterStartTime=2.6003864535216517 IterEndTime=2.612886453521652 LossValue=0.08374145057830389
IterStartTime=2.612886453521652 IterEndTime=2.625386453521652 LossValue=0.04990718458812614
IterStartTime=2.625386453521652 IterEndTime=2.637886453521652 LossValue=0.030221978958105807
IterStartTime=2.637886453521652 IterEndTime=2.6503864535216524 LossValue=0.017851030350393843
IterStartTime=2.6503864535216524 IterEndTime=2.6628864535216525 LossValue=0.009601776476412863
IterStartTime=2.6628864535216525 IterEndTime=2.6753864535216527 LossValue=0.003839085911921225
IterStartTime=2.6753864535216527 IterEndTime=2.687886453521653 LossValue=-3.3939316754261206E-4
JobId=15 ArrivalTime=47.560447913317375 StartTime=47.560447913317375 EndTime=47.685447913317404 NumIters=10
IterStartTime=47.560447913317375 IterEndTime=47.57294791331738 LossValue=0.5950161552218599
IterStartTime=47.57294791331738 IterEndTime=47.58544791331738 LossValue=0.35309530086154
IterStartTime=47.58544791331738 IterEndTime=47.597947913317384 LossValue=0.20858163561524135
IterStartTime=47.597947913317384 IterEndTime=47.61044791331739 LossValue=0.12225505786674311
IterStartTime=47.61044791331739 IterEndTime=47.62294791331739 LossValue=0.07068707629858911
IterStartTime=47.62294791331739 IterEndTime=47.63544791331739 LossValue=0.03988246441230668
IterStartTime=47.63544791331739 IterEndTime=47.647947913317395 LossValue=0.021481043906631823
IterStartTime=47.647947913317395 IterEndTime=47.6604479133174 LossValue=0.01048878476450453
IterStartTime=47.6604479133174 IterEndTime=47.6729479133174 LossValue=0.003922456854633756
IterStartTime=47.6729479133174 IterEndTime=47.685447913317404 LossValue=-2.6020852139652106E-18
JobId=16 ArrivalTime=89.89492432039224 StartTime=89.89492432039224 EndTime=90.01992432039226 NumIters=10
IterStartTime=89.89492432039224 IterEndTime=89.90742432039224 LossValue=0.7336259952950067
IterStartTime=89.90742432039224 IterEndTime=89.91992432039224 LossValue=0.5343016773725692
IterStartTime=89.91992432039224 IterEndTime=89.93242432039224 LossValue=0.38514979688315815
IterStartTime=89.93242432039224 IterEndTime=89.94492432039225 LossValue=0.2735413203791312
IterStartTime=89.94492432039225 IterEndTime=89.95742432039225 LossValue=0.19002610094859737
IterStartTime=89.95742432039225 IterEndTime=89.96992432039225 LossValue=0.1275327124981371
IterStartTime=89.96992432039225 IterEndTime=89.98242432039225 LossValue=0.08076969580908241
IterStartTime=89.98242432039225 IterEndTime=89.99492432039226 LossValue=0.045777518491088055
IterStartTime=89.99492432039226 IterEndTime=90.00742432039226 LossValue=0.01959331224973674
IterStartTime=90.00742432039226 IterEndTime=90.01992432039226 LossValue=-1.3877787807814457E-17
JobId=17 ArrivalTime=86.73053479200495 StartTime=86.73053479200495 EndTime=86.85553479200497 NumIters=10
IterStartTime=86.73053479200495 IterEndTime=86.74303479200495 LossValue=0.4322334050853701
IterStartTime=86.74303479200495 IterEndTime=86.75553479200495 LossValue=0.21612203621252385
IterStartTime=86.75553479200495 IterEndTime=86.76803479200495 LossValue=0.12160417941876507
IterStartTime=86.76803479200495 IterEndTime=86.78053479200496 LossValue=0.07340701790264001
IterStartTime=86.78053479200496 IterEndTime=86.79303479200496 LossValue=0.045854043087574736
IterStartTime=86.79303479200496 IterEndTime=86.80553479200496 LossValue=0.028726959494275332
IterStartTime=86.80553479200496 IterEndTime=86.81803479200497 LossValue=0.017389225522652943
IterStartTime=86.81803479200497 IterEndTime=86.83053479200497 LossValue=0.009509610644185085
IterStartTime=86.83053479200497 IterEndTime=86.84303479200497 LossValue=0.0038176954763175543
IterStartTime=86.84303479200497 IterEndTime=86.85553479200497 LossValue=-4.2480515837758914E-4
JobId=18 ArrivalTime=96.30329830655073 StartTime=96.30329830655073 EndTime=96.42829830655076 NumIters=10
IterStartTime=96.30329830655073 IterEndTime=96.31579830655073 LossValue=0.5086598070221793
IterStartTime=96.31579830655073 IterEndTime=96.32829830655074 LossValue=0.24830592176697283
IterStartTime=96.32829830655074 IterEndTime=96.34079830655074 LossValue=0.1342349783949484
IterStartTime=96.34079830655074 IterEndTime=96.35329830655074 LossValue=0.0784622370451867
IterStartTime=96.35329830655074 IterEndTime=96.36579830655074 LossValue=0.04785098972677788
IterStartTime=96.36579830655074 IterEndTime=96.37829830655075 LossValue=0.029452535440509214
IterStartTime=96.37829830655075 IterEndTime=96.39079830655075 LossValue=0.01759949468057577
IterStartTime=96.39079830655075 IterEndTime=96.40329830655075 LossValue=0.009541258079392226
IterStartTime=96.40329830655075 IterEndTime=96.41579830655076 LossValue=0.003824712683245527
IterStartTime=96.41579830655076 IterEndTime=96.42829830655076 LossValue=-3.724159965767561E-4
JobId=19 ArrivalTime=89.11809310007158 StartTime=89.11809310007158 EndTime=89.2430931000716 NumIters=10
IterStartTime=89.11809310007158 IterEndTime=89.13059310007158 LossValue=0.8543721224326387
IterStartTime=89.13059310007158 IterEndTime=89.14309310007158 LossValue=0.7214222028366745
IterStartTime=89.14309310007158 IterEndTime=89.15559310007158 LossValue=0.6000465334536106
IterStartTime=89.15559310007158 IterEndTime=89.16809310007159 LossValue=0.48923749225255053
IterStartTime=89.16809310007159 IterEndTime=89.18059310007159 LossValue=0.3880751779740058
IterStartTime=89.18059310007159 IterEndTime=89.1930931000716 LossValue=0.2957197734035245
IterStartTime=89.1930931000716 IterEndTime=89.2055931000716 LossValue=0.21140457347747554
IterStartTime=89.2055931000716 IterEndTime=89.2180931000716 LossValue=0.13442962034255324
IterStartTime=89.2180931000716 IterEndTime=89.2305931000716 LossValue=0.06415589252929643
IterStartTime=89.2305931000716 IterEndTime=89.2430931000716 LossValue=0.0
JobId=20 ArrivalTime=44.60138765902889 StartTime=44.60138765902889 EndTime=44.6638876590289 NumIters=5
IterStartTime=44.60138765902889 IterEndTime=44.61388765902889 LossValue=0.10940707694078865
IterStartTime=44.61388765902889 IterEndTime=44.62638765902889 LossValue=0.011969908289827292
IterStartTime=44.62638765902889 IterEndTime=44.638887659028896 LossValue=0.0013095924610154817
IterStartTime=44.638887659028896 IterEndTime=44.6513876590289 LossValue=1.4327846458662082E-4
IterStartTime=44.6513876590289 IterEndTime=44.6638876590289 LossValue=1.5675459186969635E-5
JobId=21 ArrivalTime=12.854949976747099 StartTime=12.854949976747099 EndTime=12.979949976747092 NumIters=10
IterStartTime=12.854949976747099 IterEndTime=12.867449976747098 LossValue=0.544813999705082
IterStartTime=12.867449976747098 IterEndTime=12.879949976747097 LossValue=0.24807910031140704
IterStartTime=12.879949976747097 IterEndTime=12.892449976747097 LossValue=0.12693141809436678
IterStartTime=12.892449976747097 IterEndTime=12.904949976747096 LossValue=0.07161191387444968
IterStartTime=12.904949976747096 IterEndTime=12.917449976747095 LossValue=0.04267744016170685
IterStartTime=12.917449976747095 IterEndTime=12.929949976747094 LossValue=0.025867409544346257
IterStartTime=12.929949976747094 IterEndTime=12.942449976747094 LossValue=0.015302775616653927
IterStartTime=12.942449976747094 IterEndTime=12.954949976747093 LossValue=0.008253752292450251
IterStartTime=12.954949976747093 IterEndTime=12.967449976747092 LossValue=0.003325613214931959
IterStartTime=12.967449976747092 IterEndTime=12.979949976747092 LossValue=-2.506928318895714E-4
JobId=22 ArrivalTime=75.85710533184417 StartTime=75.85710533184417 EndTime=75.9821053318442 NumIters=10
IterStartTime=75.85710533184417 IterEndTime=75.86960533184417 LossValue=0.4384230452289678
IterStartTime=75.86960533184417 IterEndTime=75.88210533184417 LossValue=0.20045389059847604
IterStartTime=75.88210533184417 IterEndTime=75.89460533184418 LossValue=0.10560019581599271
IterStartTime=75.89460533184418 IterEndTime=75.90710533184418 LossValue=0.06101520764755318
IterStartTime=75.90710533184418 IterEndTime=75.91960533184418 LossValue=0.03700385403819841
IterStartTime=75.91960533184418 IterEndTime=75.93210533184418 LossValue=0.022719724385947736
IterStartTime=75.93210533184418 IterEndTime=75.94460533184419 LossValue=0.013573150894082214
IterStartTime=75.94460533184419 IterEndTime=75.95710533184419 LossValue=0.007378794086037779
IterStartTime=75.95710533184419 IterEndTime=75.96960533184419 LossValue=0.002995732822750754
IterStartTime=75.96960533184419 IterEndTime=75.9821053318442 LossValue=-2.1664684525427545E-4
JobId=23 ArrivalTime=31.961771356551317 StartTime=31.961771356551317 EndTime=32.08677135655133 NumIters=10
IterStartTime=31.961771356551317 IterEndTime=31.974271356551316 LossValue=0.5411363379599753
IterStartTime=31.974271356551316 IterEndTime=31.986771356551316 LossValue=0.22643798862098263
IterStartTime=31.986771356551316 IterEndTime=31.999271356551315 LossValue=0.11049002436746709
IterStartTime=31.999271356551315 IterEndTime=32.011771356551314 LossValue=0.06074241281505559
IterStartTime=32.011771356551314 IterEndTime=32.02427135655132 LossValue=0.0356523084405871
IterStartTime=32.02427135655132 IterEndTime=32.03677135655132 LossValue=0.021407407450579244
IterStartTime=32.03677135655132 IterEndTime=32.04927135655132 LossValue=0.01259374831792938
IterStartTime=32.04927135655132 IterEndTime=32.061771356551326 LossValue=0.006778664674925381
IterStartTime=32.061771356551326 IterEndTime=32.07427135655133 LossValue=0.0027472633490579212
IterStartTime=32.07427135655133 IterEndTime=32.08677135655133 LossValue=-1.5926713367787892E-4
JobId=24 ArrivalTime=71.7606771562658 StartTime=71.7606771562658 EndTime=71.88567715626583 NumIters=10
IterStartTime=71.7606771562658 IterEndTime=71.7731771562658 LossValue=0.39590852207566934
IterStartTime=71.7731771562658 IterEndTime=71.7856771562658 LossValue=0.18840910478978803
IterStartTime=71.7856771562658 IterEndTime=71.79817715626581 LossValue=0.10322046310656752
IterStartTime=71.79817715626581 IterEndTime=71.81067715626581 LossValue=0.061342964155068846
IterStartTime=71.81067715626581 IterEndTime=71.82317715626581 LossValue=0.037948510014612
IterStartTime=71.82317715626581 IterEndTime=71.83567715626582 LossValue=0.02363202450995111
IterStartTime=71.83567715626582 IterEndTime=71.84817715626582 LossValue=0.014260653001810987
IterStartTime=71.84817715626582 IterEndTime=71.86067715626582 LossValue=0.0078022589358768026
IterStartTime=71.86067715626582 IterEndTime=71.87317715626583 LossValue=0.003167366844053436
IterStartTime=71.87317715626583 IterEndTime=71.88567715626583 LossValue=-2.693180161979468E-4
JobId=25 ArrivalTime=47.14654274809666 StartTime=47.14654274809666 EndTime=47.25904274809668 NumIters=9
IterStartTime=47.14654274809666 IterEndTime=47.15904274809666 LossValue=0.3529072317668036
IterStartTime=47.15904274809666 IterEndTime=47.17154274809666 LossValue=0.12453096036954818
IterStartTime=47.17154274809666 IterEndTime=47.184042748096665 LossValue=0.043930892036660826
IterStartTime=47.184042748096665 IterEndTime=47.19654274809667 LossValue=0.015484981366870541
IterStartTime=47.19654274809667 IterEndTime=47.20904274809667 LossValue=0.005445661915034267
IterStartTime=47.20904274809667 IterEndTime=47.221542748096674 LossValue=0.0019025187115700355
IterStartTime=47.221542748096674 IterEndTime=47.23404274809668 LossValue=6.520491134581261E-4
IterStartTime=47.23404274809668 IterEndTime=47.24654274809668 LossValue=2.1072508955942722E-4
IterStartTime=47.24654274809668 IterEndTime=47.25904274809668 LossValue=5.497008810699782E-5
JobId=26 ArrivalTime=69.45462123406273 StartTime=69.45462123406273 EndTime=69.57962123406276 NumIters=10
IterStartTime=69.45462123406273 IterEndTime=69.46712123406273 LossValue=0.8847306212520407
IterStartTime=69.46712123406273 IterEndTime=69.47962123406273 LossValue=0.7731526741681054
IterStartTime=69.47962123406273 IterEndTime=69.49212123406274 LossValue=0.665147942896958
IterStartTime=69.49212123406274 IterEndTime=69.50462123406274 LossValue=0.5606019973780141
IterStartTime=69.50462123406274 IterEndTime=69.51712123406274 LossValue=0.45940407210369916
IterStartTime=69.51712123406274 IterEndTime=69.52962123406274 LossValue=0.36144694876437145
IterStartTime=69.52962123406274 IterEndTime=69.54212123406275 LossValue=0.26662684265146774
IterStartTime=69.54212123406275 IterEndTime=69.55462123406275 LossValue=0.17484329269851928
IterStartTime=69.55462123406275 IterEndTime=69.56712123406275 LossValue=0.08599905504353744
IterStartTime=69.56712123406275 IterEndTime=69.57962123406276 LossValue=4.440892098500626E-16
JobId=27 ArrivalTime=35.565005711541986 StartTime=35.565005711541986 EndTime=35.690005711542014 NumIters=10
IterStartTime=35.565005711541986 IterEndTime=35.57750571154199 LossValue=0.4443964946266552
IterStartTime=35.57750571154199 IterEndTime=35.59000571154199 LossValue=0.19739516083726022
IterStartTime=35.59000571154199 IterEndTime=35.602505711541994 LossValue=0.08758725231309794
IterStartTime=35.602505711541994 IterEndTime=35.615005711542 LossValue=0.03877060590287325
IterStartTime=35.615005711542 IterEndTime=35.627505711542 LossValue=0.017068480812160582
IterStartTime=35.627505711542 IterEndTime=35.640005711542 LossValue=0.00742049660826629
IterStartTime=35.640005711542 IterEndTime=35.652505711542005 LossValue=0.0031313498629814956
IterStartTime=35.652505711542005 IterEndTime=35.66500571154201 LossValue=0.0012245494978688008
IterStartTime=35.66500571154201 IterEndTime=35.67750571154201 LossValue=3.7685464191849723E-4
IterStartTime=35.67750571154201 IterEndTime=35.690005711542014 LossValue=-1.6263032587282567E-19
JobId=28 ArrivalTime=38.72641786958895 StartTime=38.72641786958895 EndTime=38.85141786958898 NumIters=10
IterStartTime=38.72641786958895 IterEndTime=38.73891786958895 LossValue=0.46662785690564373
IterStartTime=38.73891786958895 IterEndTime=38.751417869588956 LossValue=0.20014821139673192
IterStartTime=38.751417869588956 IterEndTime=38.76391786958896 LossValue=0.1006555656919268
IterStartTime=38.76391786958896 IterEndTime=38.77641786958896 LossValue=0.05648109296389834
IterStartTime=38.77641786958896 IterEndTime=38.788917869588964 LossValue=0.033608903433353154
IterStartTime=38.788917869588964 IterEndTime=38.80141786958897 LossValue=0.020373417389612396
IterStartTime=38.80141786958897 IterEndTime=38.81391786958897 LossValue=0.012067816186484868
IterStartTime=38.81391786958897 IterEndTime=38.82641786958897 LossValue=0.0065284856478047305
